Dạng cổ (Philiphê Bỉnh),Dạng hiện đại,Loại biến âm,Nhận xét
trều,triều,ê → iê,Phức hóa nguyên âm đơn ê thành nguyên âm đôi iê
chên,chiên,ê → iê,Phức hóa nguyên âm
chuến,chuyến,ê → iê,Phức hóa nguyên âm
huét,huyết,ê → iê/uyê,Phức hóa nguyên âm
huện,huyện,ê → iê/uyê,Phức hóa nguyên âm
phén,phiên,ê → iê,Phức hóa nguyên âm
duyệt,duyệt,ê → iê,Biến thể iê hóa
huền,huyền,ê → iê,Phức hóa nguyên âm
luện,luyện,ê → iê,Phức hóa nguyên âm
rói,rưới,o → uơ/ươ,Mở rộng nguyên âm o thành uơ
vọt,vuột/suốt,o → uơ/uô,Phức hóa nguyên âm
ngóc,ngược,o → uơ/ươ,Phức hóa nguyên âm
điều,đều,iê → i/ê,Đơn hóa nguyên âm đôi
phiết,phết,iê → ê,Đơn hóa nguyên âm đôi
thuyê,thuê,iê → ê,Đơn hóa nguyên âm đôi
việt,vịt,iê → i,Đơn hóa nguyên âm đôi
gởi,gửi,o → u,Làm tròn môi nguyên âm
rổi,rưới/rửi,o → u,Làm tròn môi nguyên âm
buôi,bồi,uô → ô/o,Đơn hóa nguyên âm đôi
vuối,với,uô → ô/o,Đơn hóa nguyên âm đôi
bạm,bặm,a → ă,Rút ngắn nguyên âm (a thành ă)
cám,cắm,a → ă,Rút ngắn nguyên âm
đam,đắm,a → ă,Rút ngắn nguyên âm
mâm,mắm,a → ă,Rút ngắn nguyên âm
nam,năm,a → ă,Rút ngắn nguyên âm
cháng,chẳng,a → ă,Rút ngắn nguyên âm
đắng,đẳng,a → ă,Rút ngắn nguyên âm
tráng,trắng,a → ă,Rút ngắn nguyên âm
váng,vắng,a → ă,Rút ngắn nguyên âm
chát,chặt,a → ă,Rút ngắn nguyên âm
mát,mặt,a → ă,Rút ngắn nguyên âm
sát,sặt,a → ă,Rút ngắn nguyên âm
bác,bắc,a → ă,Rút ngắn nguyên âm
đặc,đặc,a → ă,Ổn định âm
rác,rắc,a → ă,Rút ngắn nguyên âm
nát,nắt,a → ă,Rút ngắn nguyên âm
đong,đăng,o → â,Mở âm vị trung → trung thấp
bong,băng,o → â,Mở hóa âm
nóng,nắng,o → â,Mở hóa âm
vong,văng,o → â,Mở hóa âm
tóc,tắc,o → â,Mở hóa âm
góc,gắc,o → â,Mở hóa âm
bọc,bặc,o → â,Mở hóa âm
aong,ong,ao → o,Rút gọn nguyên âm đôi
baong,bong,ao → o,Rút gọn nguyên âm đôi
chaong,chong,ao → o,Rút gọn nguyên âm đôi
đaong,đong,ao → o,Rút gọn nguyên âm đôi
saong,song,ao → o,Rút gọn nguyên âm đôi
thaong,thong,ao → o,Rút gọn nguyên âm đôi
vaong,vong,ao → o,Rút gọn nguyên âm đôi
báoc,bóc,ao → o,Rút gọn nguyên âm đôi
chạoc,chọc,ao → o,Rút gọn nguyên âm đôi
đạoc,đọc,ao → o,Rút gọn nguyên âm đôi
lạoc,lọc,ao → o,Rút gọn nguyên âm đôi
mạoc,mọc,ao → o,Rút gọn nguyên âm đôi
nạoc,nọc,ao → o,Rút gọn nguyên âm đôi
thạoc,thọc,ao → o,Rút gọn nguyên âm đôi
băy,bay,ay → ăy (vần ngắn khép),chúng băy là kẻ chẳng có tội
băy,bấy,ấy → ăy,thằng Arrio băy đặt
băy,bây,ây → ăy,có băy tám tram
dầy,dạy / dày,ay → ây (biểu thị phát âm cổ),"Đức thầy dầy, người dầy rằng, thiếu kẻ dầy dỗ, chẳng có người nhà dầy"
căy,cày,ay → ăy,chẳng được căy cuốc
chăy,chạy,ay → ăy,"chăy được, chăy ra đón đàng, chăy vào cửa quan nọ…"
chăy,chạy,ay → ăy,"mùa chăy, giữa ngày ăn chăy, cùng ăn chăy, ngoài mùa chăy, saong đến mùa chăy"
chăy,cháy,áy → ăy,"đời thương chăy, nhà mình chăy thức ngủ liền là dấu chăy nhà, khi chăy nhà, nắng chăy nhà"
chăy,chậy,ậy → ăy,"đã chăy sang đấy, đã chăy qua, chăy cả ngày cả đêm, chăy đi bán rao"
dăy,dẫy,ấy/ẫy → ăy,đi một dăy thước thợ
đầy,đầy / đày,ay/ay → ây/ầy,"đã đầy thằng Bonaparte, bất điệu đi đầy"
đấy,đấy,không đổi (tiểu từ),bán hàng đấy
gẫy,gãy,ãy → ẫy,non chẳng uốn già bẻ gẫy cành
hăy,hay,ay → ăy,đoạn sẽ hăy
hăy,hãy,ãy → ăy,"hăy còn, hăy xin"
lăy,lấy,ấy → ăy,"vào mà lăy cụ, kéo đến lăy cụ, cũng lăy bà mụ chinh, khi đã lăy rồi"
măy,may,ay → ăy,"mua vải gai măy áo giúp lễ, mẹ tôi măy cho tôi"
măy,mày,ay → ăy,thuở xưa măy đã ngác đầu lên
năy,này,ay → ăy,"đời năy đã mạt thế, thầy dầy phạt con năy, dòng năy thì giữ blọn, sách năy là sách sổ sang"
nhăy,nhảy,ảy → ăy,nhăy vọt lên
ngăy,ngày,ay → ăy,"ngăy kiêng, có ngăy lên có ngăy xuống, ngăy gió ngăy chạp ngăy chết, sang ngăy mai, ngăy lễ sinh nhật, giữa ngăy lễ người"
quăy,quay,ay → ăy,tầy áo quăy công
răy,rảy,ảy → ăy,"răy hăy còn giữ, tựăy cho đến răy, còn giữ đến răy, băy nhiêu ngăy răy, còn giữ đến răy"
răy,rẫy,ẫy → ăy,mà răy nước phép
tăy,tay,ay → ăy,"một bề bên tăy hữu, cãi tăy đòi vuối ông ấy, nơì tăy cụ Rodrigo, lấy ngón tăy"